경주일자,경주번호,경주장,경주시간,등급,거리,핸디캡,레이팅범위,연령조건,NO,마명,산지,성별,연령,레이팅,부중,증감,기수,조교사,마주,조교횟수,출전주기,장구현황,특이사항
20250706,3,서울,11:25,국5등급,1300M,핸디캡,일반,R1~35,9,두레이쇼,한국,암,3,27,*52,-3,조상범,김동균,김영근,8,6주,"계란형큰,망사눈",-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,1,어메이징스타,한국,암,4,44(0),52.5,0,조재로,서인석,김근영,9,3주,망사눈,-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,2,브라이트카이,한국,암,4,37(0),*52,0,김용근,함완식,이중연,9,4주,"계란형큰,망사",-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,3,라온더대세,한국,암,4,50(0),55.5,1.5,송재철,박종곤,라온랜드(주),9,5주,"망사눈,반가지큰",-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,4,초원돌풍,한국,암,3,38(2),51,0,정우주,이관호,황은호,10,5주,망사,-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,5,은빛돌풍,한국,암,5,43(-1),52,-1,푸르칸,조현수,김욱수,11,5주,망사,-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,6,스마일골드,한국,암,4,45(4),53,0.5,정정희,리카디,이기선,16,42주,"계란형큰,망사눈",-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,7,세명레이디,한국,암,5,40(8),51,-3,김태희,최용구,이기철,5,4주,"계란형큰,망사눈",-
20250706,4,서울,12:45,국4등급,1400M,핸디캡,일반,R1~50,8,천행챗,한국,암,4,43(-1),52,-0.5,김태훈,배휴준,조금제,10,3주,"계란형큰,망사눈",-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,1,탱글이,한국,수,5,29(0),54,0,박태종,김동철,김종식,8,5주,망사눈,-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,2,블랙시대,한국,수,4,28(0),53.5,0,김용근,강성오,이강운,11,4주,"계란형큰,망사눈",-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,3,스타케이,한국,거,5,29(0),54,0,송재철,우창구,강경운,13,36주,"눈가면+,망사눈-",-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,4,영원자이언트,한국,수,4,34(1),56.5,0.5,정우주,송문길,이종훈,10,4주,"망사눈,반가지큰",-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,5,빅브리지,한국,암,4,35(0),55,0,문정균,이관호,황은호,6,5주,"계란형큰,망사",-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,6,히퍼드롬,한국,수,4,31(0),55,0,푸르칸,김동균,강현철,9,4주,"계란형큰,망사눈",-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,7,골든볼,한국,암,4,23(0),*52,0,김효정,최봉주,민홍기,15,11주,망사눈,-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,8,레이디폭스,한국,암,4,33(4),54,0.5,조상범,김동균,김봉섭,15,2주,망사눈,-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,9,최강현마,한국,거,5,30(1),54.5,0.5,임다빈,박지헌,(주)디알엠씨티,9,3주,계란형큰,-
20250706,5,서울,13:35,국5등급,1700M,핸디캡,일반,R1~35,10,바람살,한국(포),암,6,32(0),53.5,0,해리카심,신삼영,제일사료(주),8,4주,"망사,반가지큰",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,1,트리스탄왕자,한국,거,4,49(0),56,0.5,(-2)김성현,김윤섭,이상진,8,5주,망사,-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,2,티나케이,미국,암,4,45(1),54,0.5,장추열,우창구,강경운,8,4주,망사눈,-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,3,시크릿왕자,한국,거,5,36(0),51.5,0.5,김태희,박윤규,최동근,6,4주,"계란형큰,망사눈",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,4,캠프데이비드,한국,거,4,41(0),54,-1.5,정우주,강환민,배은정,9,4주,"계란형큰,망사",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,5,서울최강자,한국,거,4,47(0),57,0.5,코지,이관호,이동좌,10,5주,"계란형큰,망사눈",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,6,탐라최강자,한국,거,5,37(-1),52,-0.5,김정준,박병일,퍼플라인,17,9주,"계란형큰,눈가면",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,7,파워에치드,한국,거,5,47(-1),57,0.5,김옥성,심승태,박정재,5,4주,"Triabit ,망사눈",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,8,에클레어파워,한국,거,4,45(4),56,0.5,씨씨웡,전승규,토마스 리,12,4주,"Triabit ,망사눈",-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,9,벌교그래미,한국,암,3,42(0),52.5,0,김효정,서홍수,유성훈,5,4주,망사,-
20250706,6,서울,14:25,혼4등급,1700M,핸디캡,일반,R0~50,10,나올대왕,한국,수,5,36(0),*52,0,유승완,조현수,이경호a,12,4주,"계란형큰,망사",-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,1,캐롤챗,미국,수,2,38,*52,0,김철호,임채덕,조금제,13,-,"계란형큰+,망사눈+",-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,2,문학크라운,미국,수,3,36(-1),52,-2,해리카심,박병일,권경자,17,16주,"계란형큰,망사눈",-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,3,베스트클론,한국,거,5,36(0),52,0,송재철,구자흥,베스트샤인조합,10,6주,망사눈,-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,4,하이퍼선더,미국,거,3,37(-1),52.5,0,정우주,우창구,안영환,9,12주,망사,-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,5,하남엘도라도,미국,수,3,38(-1),53,0.5,김효정,서홍수,송한우,11,4주,-,-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,6,하이러너,한국(포),암,6,48(-1),56,0,장추열,이관호,황은호,14,2주,"계란형큰,망사눈",-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,7,엑설런트마타,한국,암,4,37(0),*52,0,빅투아르,서인석,박정배,8,4주,"눈가면,반가지큰",-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,8,글로벌파로아,호주,거,3,37(-1),*52,0,임다빈,정호익,장재형,6,4주,망사눈,-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,9,아마존킹,한국,거,6,45(0),56.5,1,김태훈,토니,허훈,11,4주,"계란형큰,망사눈",-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,10,월드베리언스,미국,수,4,36(0),52,0,김동수,김동균,송태형,15,2주,망사눈,-
20250706,7,서울,15:15,혼4등급,1200M,핸디캡,일반,R0~50,11,스마일링프린스,미국,수,3,46(1),57,1.5,이동하,박병일,에스지이건설,12,4주,"계란형큰,망사눈",-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,1,글로벌코디,한국,거,4,51(0),53.5,1.5,해리카심,정호익,장재형,6,7주,"양털코,혀끈",-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,2,단디,한국,암,5,51(0),*52,1,오수철,이동국,임흥호,16,9주,망사,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,3,내길의위너,한국,수,4,52(-1),54,2,이혁,최봉주,유종국,14,7주,-,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,4,학산스피드,한국(포),수,3,57(0),56.5,2.5,이동하,홍대유,황봉기,9,4주,망사눈,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,5,라라케이,한국,수,4,54(0),55,2.5,유승완,송문길,강경운,10,8주,망사,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,6,두손오픈,한국,암,3,53(0),52.5,0.5,임다빈,정호익,이도명,6,6주,망사눈,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,7,레이디하나비,한국,암,4,54(0),53,1,조인권,최용구,김성래,12,19주,"눈가면,반가지큰,혀끈",-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,8,달빛조각사,한국,암,4,52(-1),52,0,조재로,강환민,선형조,12,8주,망사,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,9,탱자,한국,수,6,52(-1),54,2,문정균,박병일,임동현,16,4주,"망사눈,혀끈-",-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,10,샤인온미,한국,암,5,59(2),55.5,3.5,조상범,이관호,김정철,16,8주,계란형큰,-
20250706,8,서울,16:05,국3등급,1200M,핸디캡,일반,R1~65,11,프레시맨,한국,거,4,51(0),53.5,1.5,문세영,강환민,김한수,13,5주,망사,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,1,빅토리히트,미국,암,4,63(0),56,3,빅투아르,리카디,박남성,18,29주,"망사눈,혀끈",-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,2,영원빅맨,미국,수,4,59(0),56,-1,문세영,송문길,이종훈,10,4주,망사,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,3,한우리,한국,수,4,51(-1),52,0,정정희,서인석,김경철,11,4주,눈가면,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,4,럭키프랭크,미국,수,3,54(0),53.5,1,코지,박재우,권경자,11,7주,망사눈,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,5,학산마초,한국,수,4,54(-1),53.5,0,조인권,홍대유,황봉기,9,4주,망사눈,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,6,한강보스,한국,거,6,58(-1),53.5,-0.5,(-2)김성현,서범석,김학록,10,7주,망사눈,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,7,히어로삭스,미국,거,3,51(0),52,0,유승완,이관호,김창식,11,3주,"계란형큰,망사눈",-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,8,페어스카이즈,미국,수,4,54(-1),53.5,-0.5,씨씨웡,김동균,김용재,15,6주,망사눈,-
20250706,9,서울,17:00,혼3등급,1400M,핸디캡,일반,R1~65,9,마이티스위트,미국,암,3,51(-1),51,-1,김태희,서홍수,조병태,7,7주,망사,-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,1,새내파워풀,한국,수,6,51(-1),52,-1,김태희,홍대유,문금철,16,5주,망사눈,-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,2,월드피플,미국,수,3,52(-1),52.5,0.5,이혁,강환민,이관형,14,7주,망사,-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,3,파워빅토리,미국,암,5,60(0),54.5,0,임다빈,박지헌,박재범,11,8주,"계란형큰,망사눈",-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,4,호크프린스,미국,거,6,53(-1),53,1,김태훈,토니,최상일,18,5주,"계란형큰,망사눈+,망사-",-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,5,에클레어퓨리,미국,암,4,57(-1),53,-0.5,푸르칸,서홍수,제이엘피코퍼레이션,15,8주,"망사,혀끈",-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,6,서부특송,한국,암,4,59(0),54,0,조재로,서인석,부준혁,16,6주,눈가면,-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,7,슈프림삭스,미국,거,3,55(7),54,-2.5,빅투아르,리카디,김창식,12,3주,"망사눈,혀끈",-
20250706,10,서울,17:30,혼3등급,1400M,핸디캡,일반,R1~65,8,골든드래곤,한국,거,4,55(6),54,-4,이동하,정하백,조수영,12,4주,"망사눈,반가지큰,승인편자",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,1,굿필승,미국,수,7,92(0),57,0.5,김태훈,심승태,김지훈,8,24주,계란형큰,-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,2,자이언트스텝,한국(포),수,4,83(0),52.5,0,김용근,송문길,(주)나스카,7,6주,"망사,반가지큰",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,3,포에버드림,한국,거,6,93(-1),57.5,1.5,임다빈,이관호,베스트샤인조합,11,6주,"계란형큰,망사눈",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,4,노던타임,미국,거,7,94(-1),58,0,푸르칸,토니,최상일,18,5주,"계란형큰,망사+,망사눈-",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,5,리월마,한국,거,6,93(-1),57.5,-0.5,김효정,서홍수,박시용,7,6주,-,-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,6,승부사,한국,수,6,82(-1),52,-4,조상범,배휴준,김광명,8,8주,"계란형큰,망사눈",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,7,허쉬대보,한국,수,9,81(-1),*52,-2,정정희,전승규,박철근,17,124주,"계란형큰,망사",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,8,마이티룩,미국,암,5,88(-1),51,-5,(-2)김성현,함완식,조제형,12,5주,망사눈,-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,9,동진최강,한국,수,7,76(-1),51,-3.5,김태희,박윤규,퍼플라인,7,12주,"계란형큰,망사눈,승인편자",-
20250706,11,서울,18:00,1등급,1600M,핸디캡,일반,R75~95,10,늘가을,한국,수,5,90(0),56,0,조재로,서인석,김다혜,12,6주,"Triabit ,눈가면",-
